,Unnamed: 0,Start.Time,commute,Gate List
0,1,2014-03-06 07:59:00,AM,"GCP2,NSP1,NSP3,NSP2,BQE2"
1,2,2014-03-06 17:58:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
2,3,2014-03-07 08:25:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
3,4,2014-03-07 17:46:00,PM,"GCP2,NSP1,CIP1,NSP3,NSP2,BQE2"
4,5,2014-03-13 09:21:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
5,6,2014-03-13 18:17:00,PM,"GCP2,NSP1,CIP1,NSP3,NSP2,BQE2"
6,7,2014-03-14 08:11:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
7,8,2014-03-14 17:18:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
8,9,2014-03-17 09:06:00,AM,"GCP2,GCP1,NSP1,NSP3,NSP2,BQE2"
9,10,2014-03-17 17:56:00,PM,"GCP2,GCP1,NSP1,LIE2,BQE2,LIE6,LIE4,LIE5"
10,11,2014-03-18 08:18:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
11,12,2014-03-19 09:07:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
12,13,2014-03-19 16:44:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
13,14,2014-03-20 08:55:00,AM,"GCP2,CIP1,LIE2,LIE1,LIE4"
14,15,2014-03-20 17:09:00,PM,"GCP2,CIP1,NSP3,NSP2,BQE2,LIE1"
15,16,2014-03-24 08:33:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
16,17,2014-03-24 17:28:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
17,18,2014-03-25 06:42:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
18,19,2014-03-26 09:06:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
19,20,2014-03-26 17:47:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
20,21,2014-03-27 08:44:00,AM,"GCP2,CIP1,NSP3,NSP2,BQE2,LIE1"
21,22,2014-03-27 17:47:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
22,23,2014-03-28 07:25:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
23,24,2014-03-28 15:13:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
24,25,2014-04-01 09:13:00,AM,"GCP2,GCP1,NSP1,NSP3,NSP2,BQE2"
25,26,2014-04-01 18:17:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
26,27,2014-04-03 08:46:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
27,28,2014-04-03 16:30:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
28,29,2014-04-04 09:01:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
29,30,2014-04-04 16:58:00,PM,"GCP2,NSP1,CIP1,NSP3,NSP2,BQE2"
30,31,2014-04-07 09:11:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
31,32,2014-04-07 18:09:00,PM,"GCP2,GCP1,NSP3,NSP2,BQE2"
32,33,2014-04-09 09:46:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
33,34,2014-04-09 17:01:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
34,35,2014-04-10 08:37:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
35,36,2014-04-16 08:39:00,AM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
36,37,2014-04-16 17:18:00,PM,"GCP2,CIP1,NSP2,BQE2,LIE1,LIE4"
37,38,2014-04-17 09:17:00,AM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
38,39,2014-04-17 18:17:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
39,40,2014-04-18 07:41:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
40,41,2014-04-18 15:26:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
41,42,2014-04-21 09:14:00,AM,"GCP2,GCP1,BQE2"
42,43,2014-04-21 17:17:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
43,44,2014-04-22 08:36:00,AM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
44,45,2014-04-22 15:05:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
45,46,2014-04-24 09:05:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
46,47,2014-04-24 17:58:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
47,48,2014-04-25 07:58:00,AM,"GCP2,CIP1,LIE2,LIE1,LIE4"
